Posisi,Mitra,Bidang,Lokasi,Deskripsi,Provinsi,Kabupaten_Kota,Kecamatan,Skor_Kecocokan,Probabilitas_Diterima,Sentimen,Kategori_Sentimen,Skor_Deskripsi
Ai Engineer,Pt Widya Inovasi Indonesia (Widya Robotics),Technology,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab dalam mengembangkan, dan mengimplementasikan sistem
dan solusi berbasis kecerdasan buatan (AI) dan
machine learning (ML).",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,7,29.17,0.0,Netral,2
System Analyst,Pt Widya Inovasi Indonesia (Widya Robotics),Technology,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab menganalisis
kebutuhan bisnis dan teknis suatu organisasi,
merancang solusi sistem informasi, dan mengawasi
implementasinya.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,0,0.0,0.0,Netral,0
Tech Writer,Pt Widya Inovasi Indonesia (Widya Robotics),Technology,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab untuk membuat
dokumentasi teknis yang jelas, ringkas, akurat, dan
mudah dipahami tentang produk, layanan, perangkat
lunak, perangkat keras, proses, atau teknologi yang
kompleks.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,3,12.5,0.0,Netral,0
Dataset Engineer,Pt Widya Inovasi Indonesia (Widya Robotics),Technology,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab dalam
perancangan, pembangunan, pengelolaan, dan
pemeliharaan infrastruktur dan proses yang
dibutuhkan untuk menyediakan data yang berkualitas
tinggi, terstruktur, dan siap digunakan untuk keperluan analisis, machine learning (ML), dan aplikasi berbasis
data lainnya.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,9,37.5,0.0,Netral,3
Quality Assurance,Pt Widya Inovasi Indonesia (Widya Robotics),Technology,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab dalam memastikan bahwa produk, layanan, atau proses yang
dihasilkan oleh suatu organisasi memenuhi standar
kualitas yang telah ditetapkan.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,3,12.5,0.0,Netral,0
UI UX,Pt Widya Inovasi Indonesia (Widya Robotics),Technology,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab dalam
meningkatkan kepuasan pengguna terhadap suatu
produk digital (seperti website, aplikasi mobile, atau
perangkat lunak) melalui peningkatan kegunaan
(usability), aksesibilitas (accessibility), dan kesenangan (pleasure) dalam berinteraksi dengan
produk tersebut.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,2,8.33,0.0,Netral,1
Assistant Project Manager,Pt Widya Inovasi Indonesia (Widya Robotics),Technology,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab dalam
perencanaan, pelaksanaan, pemantauan,
pengendalian, dan penutupan proyek. Mereka bekerja
di bawah arahan Project Manager dan membantu
dalam berbagai tugas administratif, organisasi, dan
komunikasi untuk memastikan proyek berjalan lancar
dan mencapai tujuannya.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,2,8.33,0.0,Netral,1
Frontend Engineer,Pt Widya Inovasi Indonesia (Widya Robotics),Technology,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab untuk mengembangkan bagian user-facing (tampilan yang
berinteraksi langsung dengan pengguna) dari sebuah
aplikasi web atau website.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,2,8.33,0.0,Netral,1
Production Operations & Deployment,Pt Widya Inovasi Indonesia (Widya Robotics),Technology,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab untuk melaukan
produksi dan pemasangan product perusahaan",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,0,0.0,0.0,Netral,0
"Consumer Banking Intern (7), SME Banking Intern (2), Enterprise Banking Intern (1)",Pt Bank Danamon Indonesia Tbk,Strategi & Bisnis,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setiabudi","Posisi ini memberikan pengalaman nyata di unit bisnis perbankan yang terdiri dari segmen konsumer, SME, dan enterprise atau korporasi. Peserta akan mempelajari proses strategi bisnis, pelayanan
nasabah, analisis pasar, hingga program penjualan
dan akusisi nasbah. Consumer Banking merupakan layanan perbankan
yang ditujukan untuk nasabah retail atau individu.
Produk atau layanan perbankan antara lain Funding
(Tabungan, Deposito, & Produk-Produk Investasi),
Lending (KPR, Kartu Kredit, Kredit Tanpa Agunan),
dan Services (Transfer, Save Deposit Box, Kliring,
Bancassurance, dll).
SME Banking & Enterprise Banking merupakan
layanan perbankan yang ditujukan untuk nasabah
bisnis dengan klasifikasi SME (omzet tahunan >IDR 3
bio s.d IDR 50 bio) sampai Corporate (omzet tahunan
> IDR 50 bio). Produk atau layanan perbankan antara
lain Funding (Tabungan & Giro), Lending (Kredit Modal
Kerja, Kredit Investasi), dan Services (Cash
Management, Trade Finance, & Financial Supply
Chain).",DKI Jakarta,Jakarta Pusat,Setiabudi,7,29.17,0.0,Netral,1
HR Officer / Recruiter,Pt Partner Impian Milenial (Schoters),Sumber Daya Manusia,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, pemagang akan berpartisipasi aktif
dalam berbagai aspek manajemen sumber daya
manusia dan operasional kantor. Fokus utama
mencakup pelaksanaan proses penilaian performa
karyawan, pengembangan kompetensi melalui
pelatihan dan coaching, serta penyusunan rencana
pengembangan individu. Selain itu, pemagang juga
akan terlibat dalam kegiatan pengelolaan area kerja,
employee engagement, serta mendukung proses
administratif perusahaan, termasuk kepegawaian dan
legal secara umum.",Jakarta,Jakarta Pusat,Setia Budi,12,50.0,0.2,Netral,2
Education Program Officer,Pt Partner Impian Milenial (Schoters),"Riset, Kebijakan, dan Pendidikan","Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, peserta magang akan terlibat dalam
mendampingi, membimbing, dan mendukung student
B2C maupun B2B di layanan Study Abroad Tutoring
selama proses persiapan aplikasi pendaftaran hingga
keberangkatan studi ke luar negeri. Peserta juga akan
terlibat dalam memberikan intervensi yang tepat untuk
membantu pencapaian target student.",Jakarta,Jakarta Pusat,Setia Budi,9,37.5,0.0,Netral,1
Project Management,Pt Partner Impian Milenial (Schoters),Strategi & Bisnis,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, peserta magang akan berperan
sebagai Project Manager yang bertanggung jawab
mengawasi dan mengendalikan jalannya proyek
bimbingan B2B. Peserta akan memastikan kelancaran
pelaksanaan proyek melalui koordinasi antar tim,
pengawasan operasional, serta evaluasi kualitas dan
progres program sesuai target yang telah ditetapkan.",Jakarta,Jakarta Pusat,Setia Budi,7,29.17,0.0,Netral,1
Business Operation,Pt Partner Impian Milenial (Schoters),Strategi & Bisnis,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, peserta magang akan terlibat langsung
dalam kegiatan operasional bisnis untuk layanan B2B
Project Tutoring. Peserta akan mendapatkan
pengalaman dalam melakukan peningkatan alur
strategis operasional bisnis, menangani manajemen
proyek terkait untuk memenuhi kebutuhan bimbingan
siswa, serta mengembangkan inovasi dan efisiensi di
aspek operasional",Jakarta,Jakarta Pusat,Setia Budi,7,29.17,0.0,Netral,1
Business Operation,Pt Partner Impian Milenial (Schoters),Strategi & Bisnis,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, peserta magang akan terlibat langsung
dalam kegiatan operasional bisnis untuk layanan
Standardized Test Tutoring. Peserta akan mendapatkan
pengalaman dalam melakukan peningkatan alur
strategis operasional bisnis, menangani manajemen
proyek terkait untuk memenuhi kebutuhan bimbingan
siswa, serta mengembangkan inovasi dan efisiensi di
aspek operasional",Jakarta,Jakarta Pusat,Setia Budi,7,29.17,0.0,Netral,1
Civil Engineer,Kementerian Pekerjaan Umum,Infrastruktur bidang jalan,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Cijantung",Pelaksanaan preservasi (pemeliharaan) jalan di lingkungan Markas Komando Kopassus Cijantung,DKI Jakarta,Jakarta Timur,Cijantung,5,20.83,0.0,Netral,0
Business Executive,Pt Citi Asia Internasional,Strategi & Bisnis,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Business Executive bertanggung jawab dalam
mengelola dan mengembangkan kegiatan bisnis perusahaan untuk mencapai target pertumbuhan dan profitabilitas. Posisi ini
melibatkan perencanaan strategi bisnis,
pengembangan relasi dengan klien, serta
pengawasan operasional agar perusahaan
berjalan efisien dan efektif.",DKI Jakarta,Jakarta Timur,Jatinegara,10,41.67,0.0,Netral,2
Business Development,Pt Citi Asia Internasional,Strategi & Bisnis,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Business Development bertanggung jawab
untuk mengidentifikasi peluang bisnis baru,
membangun hubungan kemitraan, dan
mengembangkan strategi untuk pertumbuhan
perusahaan. Fokus utama posisi ini adalah
memperluas pasar, meningkatkan
pendapatan, dan menciptakan nilai jangka
panjang bagi perusahaan.",DKI Jakarta,Jakarta Timur,Jatinegara,8,33.33,0.0,Netral,1
Training Development,Pt Citi Asia Internasional,Strategi & Bisnis,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Training and Development bertanggung
jawab untuk merancang, mengembangkan,
dan melaksanakan program pelatihan guna
meningkatkan keterampilan dan kompetensi
karyawan dalam sebuah organisasi. Posisi ini
fokus pada peningkatan performa kerja dan
pengembangan karier karyawan.",DKI Jakarta,Jakarta Timur,Jatinegara,13,54.17,0.0,Netral,2
Project Manager,Pt Citi Asia Internasional,Strategi & Bisnis,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Project Manager bertanggung jawab untuk
merencanakan, mengorganisir, dan
mengawasi pelaksanaan sebuah proyek agar
berjalan sesuai dengan tujuan, waktu,
anggaran, dan kualitas yang telah ditetapkan.
Project Manager memastikan setiap tahap
proyek terlaksana dengan baik dan koordinasi
antar tim berjalan lancar.",DKI Jakarta,Jakarta Timur,Jatinegara,8,33.33,0.0,Netral,1
IT Project Manager,Pt Citi Asia Internasional,Teknologi Informasi,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","IT Project Manager bertanggung jawab untuk
merencanakan, mengelola, dan mengawasi
pelaksanaan proyek teknologi informasi dari
awal hingga selesai. Posisi ini
mengoordinasikan tim lintas fungsi untuk
memastikan bahwa proyek diselesaikan tepat
waktu, sesuai anggaran, dan sesuai dengan
spesifikasi teknis dan kebutuhan bisnis.",DKI Jakarta,Jakarta Timur,Jatinegara,13,54.17,0.0,Netral,1
Fullstack Developer,Pt Citi Asia Internasional,Teknologi Informasi,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Fullstack Developer bertanggung jawab
dalam merancang, mengembangkan, dan
memelihara aplikasi baik pada sisi front-end
(user interface) maupun back-end (server,
database, dan logika aplikasi). Posisi ini
memerlukan pemahaman menyeluruh
terhadap arsitektur aplikasi dan kemampuan untuk bekerja lintas teknologi secara end-to-
end.",DKI Jakarta,Jakarta Timur,Jatinegara,12,50.0,0.0,Netral,2
UI/UX Designer,Pt Citi Asia Internasional,Teknologi Informasi,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","UI/UX Designer bertanggung jawab untuk
menciptakan pengalaman pengguna yang
intuitif, fungsional, dan menarik secara visual
pada produk digital seperti website, aplikasi
mobile, atau sistem internal. Posisi ini
menggabungkan riset pengguna (UX) dan
desain antarmuka (UI) untuk memastikan
produk mudah digunakan dan memenuhi
kebutuhan pengguna serta tujuan bisnis.",DKI Jakarta,Jakarta Timur,Jatinegara,24,100.0,0.0,Netral,5
System Analyst,Pt Citi Asia Internasional,Teknologi Informasi,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","System Analyst bertugas untuk menjembatani
kebutuhan bisnis dan solusi teknologi dengan
cara menganalisis, merancang, dan
mengoptimalkan sistem informasi. Posisi ini
berperan penting dalam memastikan sistem
yang dikembangkan atau diimplementasikan
sesuai dengan kebutuhan pengguna dan
mendukung proses bisnis secara efisien.",DKI Jakarta,Jakarta Timur,Jatinegara,10,41.67,0.0,Netral,1
Graphic Designer,Pt Citi Asia Internasional,Komunikasi dan media,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Graphic Designer bertanggung jawab untuk
membuat desain visual yang komunikatif,
menarik, dan sesuai dengan identitas brand
perusahaan. Desain tersebut dapat digunakan
untuk keperluan pemasaran, media sosial,
produk cetak, website, kemasan, presentasi,
dan kebutuhan visual lainnya.",DKI Jakarta,Jakarta Timur,Jatinegara,15,62.5,0.0,Netral,3
Video Editor and Videographer,Pt Citi Asia Internasional,Komunikasi dan media,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Video Editor & Videographer bertanggung
jawab untuk merancang, merekam, dan
mengedit konten video sesuai kebutuhan
perusahaan atau klien. Posisi ini mencakup
seluruh proses produksi mulai dari
pengambilan gambar hingga pascaproduksi
guna menghasilkan video yang profesional,
menarik, dan sesuai dengan tujuan
komunikasi visual.",DKI Jakarta,Jakarta Timur,Jatinegara,11,45.83,0.0,Netral,1
Animator,Pt Citi Asia Internasional,Komunikasi dan media,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Animator bertanggung jawab untuk membuat
gambar bergerak dan visual efek yang
digunakan dalam berbagai media seperti film,
televisi, video game, iklan, dan platform
digital lainnya. Animator menggabungkan
seni dan teknologi untuk menghidupkan
karakter, objek, atau cerita melalui animasi.",DKI Jakarta,Jakarta Timur,Jatinegara,8,33.33,-0.13333333333333333,Netral,1
Content Wirter,Pt Citi Asia Internasional,Komunikasi dan media,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Content Writer bertanggung jawab untuk
membuat konten tertulis yang menarik,
informatif, dan sesuai dengan tujuan
pemasaran atau komunikasi perusahaan.
Konten ini bisa berupa artikel, blog, deskripsi
produk, materi sosial media, email marketing,
hingga konten website.",DKI Jakarta,Jakarta Timur,Jatinegara,10,41.67,0.0,Netral,2
Illustrator,Pt Citi Asia Internasional,Komunikasi dan media,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Illustrator bertanggung jawab untuk
membuat gambar visual untuk mendukung
komunikasi, cerita, atau ide dalam berbagai
media seperti buku, majalah, iklan, media
digital, produk, dan lain-lain. Illustrator
bertugas menciptakan ilustrasi yang menarik
dan sesuai dengan kebutuhan proyek.",DKI Jakarta,Jakarta Timur,Jatinegara,8,33.33,0.0,Netral,1
Social Media Specialist,Pt Citi Asia Internasional,Komunikasi dan media,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Social Media Specialist bertanggung jawab
untuk merancang, mengelola, dan
mengembangkan strategi konten di berbagai
platform media sosial untuk meningkatkan
brand awareness, engagement, dan
pertumbuhan audiens.",DKI Jakarta,Jakarta Timur,Jatinegara,8,33.33,0.03333333333333333,Netral,1
Jurnalis,Pt Citi Asia Internasional,Komunikasi dan media,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Jurnalis bertanggung jawab untuk mengumpulkan, menulis, dan menyebarkan informasi berita kepada publik melalui berbagai media seperti surat kabar, majalah,
televisi, radio, atau platform digital.",DKI Jakarta,Jakarta Timur,Jatinegara,8,33.33,0.0,Netral,1
Administration,Pt Citi Asia Internasional,Keuangan dan Administrasi,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Administrator bertanggung jawab untuk
mengelola berbagai tugas administratif dan
operasional guna mendukung kelancaran
aktivitas organisasi atau perusahaan.
Administrator membantu mengorganisir
dokumen, jadwal, komunikasi, serta
mendukung kebutuhan staf dan manajemen.",DKI Jakarta,Jakarta Timur,Jatinegara,8,33.33,0.0,Netral,1
Analyst,Pt Citi Asia Internasional,Riset dan Kebijakan,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Timur
Kecamatan : Jatinegara","Analyst bertanggung jawab untuk mengumpulkan, mengolah, dan menganalisis
data untuk membantu perusahaan atau
organisasi dalam mengambil keputusan
strategis yang tepat.",DKI Jakarta,Jakarta Timur,Jatinegara,10,41.67,0.0,Netral,1
Business Operation,Pt Partner Impian Milenial (Schoters),Strategi & Bisnis,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bojongsoang","Dalam posisi ini, peserta magang akan terlibat langsung
dalam kegiatan operasional bisnis untuk layanan Work
Abroad Tutoring. Peserta akan mendapatkan
pengalaman dalam melakukan peningkatan alur
strategis operasional bisnis, menangani manajemen
proyek terkait untuk memenuhi kebutuhan bimbingan
siswa, serta mengembangkan inovasi dan efisiensi di
aspek operasional",Jawa Barat,Bandung,Bojongsoang,2,8.33,0.0,Netral,1
Community Development Intern,Pt Agritama Sinergi Inovasi (Agavi),"Lingkungan, Sosial & Pemerintahan","Provinsi : Jawa Barat
Kabupaten/Kota : Garut
Kecamatan : Tarogong Kidul","Individu yang menempati posisi ini bertanggung jawab
dalam merancang dan mengimplementasikan program
pemberdayaan masyarakat terkait pengelolaan sampah
dan keberlanjutan lingkungan. Mereka akan bekerja
sama dengan berbagai pihak, termasuk pemerintah
daerah, akademisi, dan komunitas lokal, untuk
meningkatkan kesadaran serta partisipasi masyarakat
dalam menjaga lingkungan. Selain itu, mereka akan
mengembangkan strategi edukasi, membentuk
kelompok swadaya, serta mengelola kampanye sosial
guna mendorong perubahan perilaku yang lebih ramah
lingkungan. Posisi ini juga mencakup tugas dalam
melakukan riset, evaluasi program, serta menyusun
laporan dampak yang dapat digunakan untuk
pengembangan lebih lanjut. Dengan keterlibatan aktif
dalam berbagai aspek pengelolaan lingkungan, individu
yang berada dalam peran ini akan memiliki kesempatan
untuk menciptakan perubahan nyata dalam komunitas
serta berkontribusi terhadap pembangunan
berkelanjutan.",Jawa Barat,Garut,Tarogong Kidul,10,41.67,0.0,Netral,3
"Content & Event Management Store (Bandung, Jakarta, Yogyakarta, Surabaya, Padang)",Pt. Bersama Zatta Jaya Tbk,Marketing,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung pembuatan konten
promosi dan pelaksanaan event di level toko, seperti
campaign lokal, kegiatan komunitas, hingga event
customer engagement. Posisi ini memberikan
pengalaman praktis dalam mengelola strategi konten
dan event yang relevan dengan kebutuhan pasar lokal
di industri retail fashion.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.0,Netral,1
People Development,Pt. Bersama Zatta Jaya Tbk,Human Resources Development,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan terlibat dalam berbagai proyek
pengembangan karyawan dan peserta internship,
mulai dari penyusunan materi pelatihan, pelaksanaan
kegiatan pelatihan, hingga evaluasi pasca program.
Peran ini memberikan pengalaman langsung dalam
pengelolaan learning journey dan pengembangan
kompetensi karyawan di lingkungan industri retail
fashion.",Jawa Barat,Bandung,Bandung Kulon,4,16.67,0.0,Netral,2
Learning & Development Analyst,Pt. Bersama Zatta Jaya Tbk,Human Resources Development,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan berkontribusi dalam kegiatan
research & development kompetensi yang relevan
dengan kebutuhan industri, serta menyusun
rekomendasi program pengembangan berbasis data.
Peran ini juga mencakup evaluasi efektivitas pelatihan terhadap peningkatan performa dan produktivitas
karyawan maupun peserta magang.",Jawa Barat,Bandung,Bandung Kulon,6,25.0,0.0,Netral,3
Employee Branding,Pt. Bersama Zatta Jaya Tbk,Human Resources Development,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung aktivitas employer
branding internal maupun eksternal, termasuk
pengelolaan konten media sosial karier, dokumentasi
kegiatan karyawan, serta kampanye budaya kerja
perusahaan. Posisi ini memberikan wawasan strategis
mengenai bagaimana perusahaan membangun citra positif sebagai tempat kerja yang unggul.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.0,Netral,1
HR Administration,Pt. Bersama Zatta Jaya Tbk,Human Resources Development,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung proses administrasi
di divisi Human Resource, seperti pengelolaan data
karyawan, dokumentasi kehadiran, serta pencatatan
aktivitas pelatihan dan rekrutmen. Posisi ini
memberikan pengalaman langsung dalam pengelolaan
administrasi SDM yang rapi, akurat, dan sesuai dengan
standar perusahaan.",Jawa Barat,Bandung,Bandung Kulon,4,16.67,0.0,Netral,2
Retail & Event Designer,Pt. Bersama Zatta Jaya Tbk,Store Designer,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan berperan dalam mendesain
tampilan visual toko serta kebutuhan desain untuk
event internal dan eksternal, mulai dari konsep booth,
layout display produk, hingga materi visual pendukung
kegiatan promosi. Posisi ini akan memberikan
pengalaman praktis di bidang desain kreatif yang
selaras dengan identitas brand fashion retail.",Jawa Barat,Bandung,Bandung Kulon,10,41.67,0.0,Netral,1
Drafter Designer,Pt. Bersama Zatta Jaya Tbk,Store Designer,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung proses perencanaan
visual ruang toko melalui pembuatan gambar teknis,
layout, dan detail interior menggunakan perangkat
lunak desain. Peran ini memberikan pengalaman
langsung dalam pengembangan desain tata letak toko
fashion yang fungsional dan estetis.",Jawa Barat,Bandung,Bandung Kulon,9,37.5,0.0,Netral,2
Visual Merchandise Event Marketing,Pt. Bersama Zatta Jaya Tbk,Visual Merchandising,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan terlibat dalam penataan visual untuk mendukung kegiatan event marketing, seperti launching produk, kampanye promosi, hingga
pameran brand. Peran ini mencakup pengembangan
konsep display yang menarik, sesuai dengan identitas
visual brand dan tujuan pemasaran.",Jawa Barat,Bandung,Bandung Kulon,4,16.67,0.0,Netral,2
Visual Merchandise Control Display Store,Pt. Bersama Zatta Jaya Tbk,Visual Merchandising,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan bertugas membantu
pengawasan dan pelaksanaan display produk di
seluruh toko sesuai dengan panduan visual
merchandising yang telah ditentukan. Peran ini
memberikan pemahaman praktis tentang standar
penataan visual di industri retail fashion dan
bagaimana display memengaruhi pengalaman belanja pelanggan.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.0,Netral,1
Accounting & Tax,Pt. Bersama Zatta Jaya Tbk,Finance Accounting & Tax,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung kegiatan pencatatan transaksi keuangan, rekonsiliasi data, serta dokumentasi perpajakan sesuai ketentuan yang berlaku. Posisi ini memberikan pengalaman langsung dalam praktik akuntansi dan pemenuhan kewajiban pajak di lingkungan industri retail fashion.",Jawa Barat,Bandung,Bandung Kulon,4,16.67,0.0,Netral,2
Cashier,Pt. Bersama Zatta Jaya Tbk,Finance Accounting & Tax,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung aktivitas operasional keuangan harian di Head Office, termasuk pencatatan transaksi, pengelolaan petty cash, serta pelaporan kas masuk dan keluar. Posisi ini memberikan pemahaman dasar mengenai pengelolaan kas dan sistem kontrol keuangan dalam skala perusahaan retail.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.0,Netral,1
Account Receivable,Pt. Bersama Zatta Jaya Tbk,Finance Accounting & Tax,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan terlibat dalam pencatatan,
monitoring, dan pengelolaan piutang usaha
perusahaan. Peran ini mencakup verifikasi invoice,
rekapitulasi tagihan, serta dukungan administrasi
untuk memastikan kelancaran arus kas masuk dari
pelanggan atau mitra bisnis.",Jawa Barat,Bandung,Bandung Kulon,0,0.0,0.0,Netral,0
Account Payable,Pt. Bersama Zatta Jaya Tbk,Finance Accounting & Tax,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan membantu proses administrasi
pembayaran perusahaan, termasuk verifikasi invoice,
pencatatan utang usaha, serta penjadwalan
pembayaran ke vendor. Posisi ini memberikan
pengalaman langsung dalam pengelolaan keuangan
yang akurat dan sesuai prosedur.",Jawa Barat,Bandung,Bandung Kulon,2,8.33,0.0,Netral,1
Copy Writer,Pt. Bersama Zatta Jaya Tbk,Branding,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan bertanggung jawab dalam
pembuatan konten tulisan untuk berbagai kebutuhan
komunikasi perusahaan, seperti artikel blog, caption
media sosial, dan materi promosi. Posisi ini
memberikan pengalaman dalam mengelola pesan
brand secara strategis melalui konten yang menarik
dan relevan.",Jawa Barat,Bandung,Bandung Kulon,5,20.83,0.0,Netral,1
Recruitment Specialist,Pt. Bersama Zatta Jaya Tbk,Human Resources Development,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan mendukung proses rekrutmen
end-to-end, mulai dari penyusunan lowongan,
screening kandidat, koordinasi interview, hingga
administrasi database pelamar. Posisi ini memberikan
pemahaman praktis mengenai strategi pencarian dan
seleksi talent yang tepat untuk kebutuhan perusahaan.",Jawa Barat,Bandung,Bandung Kulon,7,29.17,0.0,Netral,2
Fashion Designer Elzatta,Pt. Bersama Zatta Jaya Tbk,Fashion Designer,"Provinsi : Jawa Barat
Kabupaten/Kota : Bandung
Kecamatan : Bandung Kulon","Peserta magang akan terlibat dalam proses desain
koleksi busana muslim Elzatta, mulai dari riset tren,
pengembangan konsep desain, hingga pembuatan
technical drawing dan spesifikasi produk. Posisi ini
memberikan pengalaman nyata dalam industri fashion
retail yang berbasis pada identitas brand muslimah
modern.",Jawa Barat,Bandung,Bandung Kulon,11,45.83,0.1,Netral,3
